num_items,time(s),algorithm
0,3.3000000003724494e-06,builtin
0,6.199999999623174e-06,mergesort-deques
0,4.39999999990448e-06,mergesort-pointers
0,3.899999999390502e-06,quicksort-midpivot
0,4.300000000512227e-06,quicksort-randpivot
100,1.3899999999900103e-05,builtin
100,0.000571200000000438,mergesort-deques
100,0.0007070999999996275,mergesort-pointers
100,0.0005877999999999162,quicksort-midpivot
100,0.0004274000000004108,quicksort-randpivot
200,2.4500000000315936e-05,builtin
200,0.001559799999999889,mergesort-deques
200,0.002199799999999641,mergesort-pointers
200,0.0018446999999994773,quicksort-midpivot
200,0.0015094000000006602,quicksort-randpivot
300,4.5899999999932106e-05,builtin
300,0.003477699999999473,mergesort-deques
300,0.006205300000000413,mergesort-pointers
300,0.0034930000000006345,quicksort-midpivot
300,0.0019876999999999256,quicksort-randpivot
400,5.379999999988172e-05,builtin
400,0.003572699999999429,mergesort-deques
400,0.006336499999999745,mergesort-pointers
400,0.005834799999999696,quicksort-midpivot
400,0.005120899999999651,quicksort-randpivot
500,9.589999999981558e-05,builtin
500,0.005439199999999644,mergesort-deques
500,0.007082399999999822,mergesort-pointers
500,0.004455200000000659,quicksort-midpivot
500,0.004838600000000248,quicksort-randpivot
600,0.0001006999999999536,builtin
600,0.004942599999999686,mergesort-deques
600,0.006286400000000469,mergesort-pointers
600,0.004984199999999994,quicksort-midpivot
600,0.031772099999999526,quicksort-randpivot
700,0.00012580000000017577,builtin
700,0.007041599999999981,mergesort-deques
700,0.005055800000000055,mergesort-pointers
700,0.0044717000000007445,quicksort-midpivot
700,0.006147699999999645,quicksort-randpivot
800,0.00011330000000064899,builtin
800,0.006969800000000248,mergesort-deques
800,0.010561100000000323,mergesort-pointers
800,0.007758099999999324,quicksort-midpivot
800,0.006257100000000015,quicksort-randpivot
900,0.0001745999999993586,builtin
900,0.009931399999999257,mergesort-deques
900,0.012398300000000084,mergesort-pointers
900,0.007279599999999498,quicksort-midpivot
900,0.0064811000000002394,quicksort-randpivot
1000,0.0001424000000005421,builtin
1000,0.011339300000000385,mergesort-deques
1000,0.015644299999999944,mergesort-pointers
1000,0.0066480999999996016,quicksort-midpivot
1000,0.0091480000000006,quicksort-randpivot
1100,0.00018630000000019464,builtin
1100,0.009143300000000743,mergesort-deques
1100,0.012162499999999632,mergesort-pointers
1100,0.009519200000000616,quicksort-midpivot
1100,0.013738899999999887,quicksort-randpivot
1200,0.0001828000000001495,builtin
1200,0.01109419999999961,mergesort-deques
1200,0.018389599999999895,mergesort-pointers
1200,0.013403999999999527,quicksort-midpivot
1200,0.012228899999999321,quicksort-randpivot
1300,0.00032430000000083226,builtin
1300,0.019452100000000527,mergesort-deques
1300,0.025920100000000446,mergesort-pointers
1300,0.01035769999999836,quicksort-midpivot
1300,0.009960200000000086,quicksort-randpivot
1400,0.0002943999999995839,builtin
1400,0.009078799999999276,mergesort-deques
1400,0.018033700000000152,mergesort-pointers
1400,0.011382400000000459,quicksort-midpivot
1400,0.011522799999999833,quicksort-randpivot
1500,0.0003799999999998249,builtin
1500,0.016819599999999824,mergesort-deques
1500,0.019144800000001183,mergesort-pointers
